Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,17,Sun,2017-11-26,18:00,Śląsk Wrocław,1–0,Zagłębie Lubin,10057,Stadion Miejski,Bartosz Frankowski,Match Report,
Regular Season,17,Mon,2017-11-27,18:00,Nieciecza,3–3,Wisła Kraków,4510,Stadion Bruk-Bet,Tomasz Kwiatkowski,Match Report,
,,,,,,,,,,,,
Regular Season,18,Fri,2017-12-01,18:00,Jagiellonia,1–0,Pogoń Szczecin,4111,Stadion Miejski,Jarosław Przybył,Match Report,
Regular Season,18,Fri,2017-12-01,20:30,Lechia Gdańsk,3–1,Śląsk Wrocław,8313,Stadion Energa Gdańsk,Szymon Marciniak,Match Report,
Regular Season,18,Sat,2017-12-02,15:30,Wisła Płock,2–0,Arka Gdynia,2883,Stadion im. Kazimierza Górskiego,Paweł Gil,Match Report,
Regular Season,18,Sat,2017-12-02,18:00,Zagłębie Lubin,4–2,Nieciecza,2447,Stadion Zagłębia Lubin,Mariusz Zlotek,Match Report,
Regular Season,18,Sat,2017-12-02,20:30,Nowy Sącz,2–2,Legia Warsaw,2619,Stadion im. Ojca Władysława Augustynka,Tomasz Musiał,Match Report,
Regular Season,18,Sun,2017-12-03,15:30,Piast Gliwice,0–0,Lech Poznań,4560,Stadion Miejski,Bartosz Frankowski,Match Report,
Regular Season,18,Sun,2017-12-03,18:00,Wisła Kraków,2–3,Górnik Zabrze,16808,Stadion Miejski im. Henryka Reymana,Daniel Stefański,Match Report,
Regular Season,18,Mon,2017-12-04,18:00,Cracovia,2–2,Korona Kielce,5660,Stadion Cracovii,Paweł Raczkowski,Match Report,
,,,,,,,,,,,,
Regular Season,19,Fri,2017-12-08,18:00,Nowy Sącz,0–1,Jagiellonia,724,Stadion im. Ojca Władysława Augustynka,Daniel Stefański,Match Report,
Regular Season,19,Fri,2017-12-08,20:30,Górnik Zabrze,1–1,Lechia Gdańsk,20163,Arena Zabrze,Zbigniew Dobrynin,Match Report,
Regular Season,19,Sat,2017-12-09,15:30,Śląsk Wrocław,2–2,Piast Gliwice,5645,Stadion Miejski,Dominik Sulikowski,Match Report,
Regular Season,19,Sat,2017-12-09,18:00,Korona Kielce,0–3,Arka Gdynia,7713,Kolporter Arena,Krzysztof Jakubik,Match Report,
Regular Season,19,Sat,2017-12-09,20:30,Legia Warsaw,3–0,Nieciecza,11388,Stadion Miejski Legii Warszawa im. Marsz...,Piotr Lasyk,Match Report,
Regular Season,19,Sun,2017-12-10,15:30,Pogoń Szczecin,3–3,Zagłębie Lubin,2634,Stadion Miejski im. Floriana Krygiera,Tomasz Kwiatkowski,Match Report,
Regular Season,19,Sun,2017-12-10,15:30,Wisła Kraków,0–1,Wisła Płock,10141,Stadion Miejski im. Henryka Reymana,Bartosz Frankowski,Match Report,
Regular Season,19,Sun,2017-12-10,18:00,Lech Poznań,1–0,Cracovia,20692,INEA stadion,Mariusz Zlotek,Match Report,
,,,,,,,,,,,,
Regular Season,20,Tue,2017-12-12,18:00,Jagiellonia,5–1,Korona Kielce,4774,Stadion Miejski,Tomasz Musiał,Match Report,
Regular Season,20,Tue,2017-12-12,18:00,Piast Gliwice,0–1,Legia Warsaw,5243,Stadion Miejski,Szymon Marciniak,Match Report,
Regular Season,20,Tue,2017-12-12,20:30,Nieciecza,2–1,Śląsk Wrocław,2009,Stadion Bruk-Bet,Paweł Raczkowski,Match Report,
Regular Season,20,Tue,2017-12-12,20:30,Arka Gdynia,1–0,Górnik Zabrze,6923,Stadion GOSiR,Paweł Gil,Match Report,
Regular Season,20,Wed,2017-12-13,18:00,Zagłębie Lubin,0–0,Lech Poznań,7629,Stadion Zagłębia Lubin,Jarosław Przybył,Match Report,
Regular Season,20,Wed,2017-12-13,18:00,Lechia Gdańsk,1–3,Pogoń Szczecin,9548,Stadion Energa Gdańsk,Zbigniew Dobrynin,Match Report,
Regular Season,20,Wed,2017-12-13,20:30,Cracovia,1–4,Wisła Kraków,14000,Stadion Cracovii,Krzysztof Jakubik,Match Report,
Regular Season,20,Wed,2017-12-13,20:30,Wisła Płock,2–2,Nowy Sącz,1719,Stadion im. Kazimierza Górskiego,Łukasz Szczech,Match Report,
,,,,,,,,,,,,
Regular Season,21,Fri,2017-12-15,18:00,Korona Kielce,1–1,Piast Gliwice,5277,Kolporter Arena,Mariusz Zlotek,Match Report,
Regular Season,21,Fri,2017-12-15,20:30,Śląsk Wrocław,1–0,Jagiellonia,4504,Stadion Miejski,Daniel Stefański,Match Report,
Regular Season,21,Sat,2017-12-16,15:30,Pogoń Szczecin,1–0,Arka Gdynia,3587,Stadion Miejski im. Floriana Krygiera,Krzysztof Jakubik,Match Report,
Regular Season,21,Sat,2017-12-16,18:00,Nowy Sącz,2–2,Lechia Gdańsk,834,Stadion im. Ojca Władysława Augustynka,Paweł Raczkowski,Match Report,
Regular Season,21,Sat,2017-12-16,20:30,Legia Warsaw,0–2,Wisła Płock,13721,Stadion Miejski Legii Warszawa im. Marsz...,Tomasz Musiał,Match Report,
Regular Season,21,Sun,2017-12-17,15:30,Lech Poznań,3–1,Nieciecza,8102,INEA stadion,Paweł Gil,Match Report,
Regular Season,21,Sun,2017-12-17,18:00,Wisła Kraków,1–2,Zagłębie Lubin,10515,Stadion Miejski im. Henryka Reymana,Tomasz Kwiatkowski,Match Report,
Regular Season,21,Mon,2017-12-18,18:00,Górnik Zabrze,0–4,Cracovia,17873,Arena Zabrze,Bartosz Frankowski,Match Report,
,,,,,,,,,,,,
Regular Season,22,Fri,2018-02-09,18:00,Wisła Płock,4–2,Górnik Zabrze,4367,Stadion im. Kazimierza Górskiego,Tomasz Musiał,Match Report,
Regular Season,22,Fri,2018-02-09,20:30,Zagłębie Lubin,2–3,Legia Warsaw,9655,Stadion Zagłębia Lubin,Mariusz Zlotek,Match Report,
Regular Season,22,Sat,2018-02-10,15:30,Pogoń Szczecin,4–1,Nowy Sącz,4895,Stadion Miejski im. Floriana Krygiera,Paweł Gil,Match Report,
Regular Season,22,Sat,2018-02-10,18:00,Cracovia,2–1,Śląsk Wrocław,450,Stadion Cracovii,Paweł Raczkowski,Match Report,
